id	route	sectie	volgorde	type	tekst	bronsoort	bron	copy_marker
aanbod.str.7	/aanbod	strength	7	body	Techniekanalyse van compound lifts	code	src/app/aanbod/AanbodContent.tsx:89	
aanbod.str.8	/aanbod	strength	8	body	Regelmatige evaluatiemomenten	code	src/app/aanbod/AanbodContent.tsx:90	
aanbod.str.9	/aanbod	strength	9	body	3-4x per week, volgens vast schema	code	src/app/aanbod/AanbodContent.tsx:92	
aanbod.str.10	/aanbod	strength	10	alt	Strength Programs — The Movement Club	code	src/app/aanbod/AanbodContent.tsx:153	
aanbod.groepslessen.1	/aanbod	groepslessen	1	label	Groepslessen	code	src/app/aanbod/AanbodContent.tsx:236	COPY: confirm met Marlon
aanbod.groepslessen.2	/aanbod	groepslessen	2	h2	Yoga, mobility en kettlebell	code	src/app/aanbod/AanbodContent.tsx:240	COPY: confirm met Marlon
aanbod.groepslessen.3	/aanbod	groepslessen	3	body	Kleine groepen, vaste tijden door de week. Van rustige yoga tot stevige kettlebell-sessies.	code	src/app/aanbod/AanbodContent.tsx:243-245	COPY: confirm met Marlon
aanbod.groepslessen.4	/aanbod	groepslessen	4	cta	Bekijk prijzen	code	src/app/aanbod/AanbodContent.tsx:247	
aanbod.vrijtrainen.1	/aanbod	vrij-trainen	1	label	Vrij trainen	code	src/app/aanbod/AanbodContent.tsx:257	COPY: confirm met Marlon
aanbod.vrijtrainen.2	/aanbod	vrij-trainen	2	h2	Train op je eigen moment	code	src/app/aanbod/AanbodContent.tsx:261	COPY: confirm met Marlon
aanbod.vrijtrainen.3	/aanbod	vrij-trainen	3	body	Toegang tot de studio buiten de groepslessen om, zonder vaste tijden.	code	src/app/aanbod/AanbodContent.tsx:264-266	COPY: confirm met Marlon
aanbod.vrijtrainen.4	/aanbod	vrij-trainen	4	cta	Bekijk prijzen	code	src/app/aanbod/AanbodContent.tsx:268	
aanbod.allaccess.1	/aanbod	all-access	1	label	All Access	code	src/app/aanbod/AanbodContent.tsx:278	COPY: confirm met Marlon
aanbod.allaccess.2	/aanbod	all-access	2	h2	Groepslessen en vrij trainen samen	code	src/app/aanbod/AanbodContent.tsx:281	COPY: confirm met Marlon
aanbod.allaccess.3	/aanbod	all-access	3	body	Onbeperkt combineren van groepslessen en vrij trainen, voor een vast bedrag extra op elk niveau.	code	src/app/aanbod/AanbodContent.tsx:285-287	COPY: confirm met Marlon
aanbod.allaccess.4	/aanbod	all-access	4	cta	Bekijk prijzen	code	src/app/aanbod/AanbodContent.tsx:289	
aanbod.mobilitycta.1	/aanbod	mobility-reset-cta	1	label	Gratis programma	code	src/app/aanbod/AanbodContent.tsx:299	
aanbod.mobilitycta.2	/aanbod	mobility-reset-cta	2	h2	Benieuwd hoe mobiel je bent?	code	src/app/aanbod/AanbodContent.tsx:302	
aanbod.mobilitycta.3	/aanbod	mobility-reset-cta	3	body	Probeer de gratis zeven-dagen mobility reset. Elke dag een korte video van Marlon.	code	src/app/aanbod/AanbodContent.tsx:305-307	
aanbod.mobilitycta.4	/aanbod	mobility-reset-cta	4	cta	Start de reset	code	src/app/aanbod/AanbodContent.tsx:308	
aanbod.faq.1	/aanbod	faq	1	label	Veelgestelde vragen	code	src/app/aanbod/AanbodContent.tsx:318	
aanbod.faq.2	/aanbod	faq	2	h2	Nog vragen?	code	src/app/aanbod/AanbodContent.tsx:319	
aanbod.faq.3	/aanbod	faq	3	faq-vraag	Heb ik ervaring nodig om te starten?	code	src/app/aanbod/AanbodContent.tsx:98	
aanbod.faq.4	/aanbod	faq	4	faq-antwoord	Nee. Of je nu beginner bent of gevorderd, we passen elke training aan op jouw niveau. Tijdens de intake brengen we je huidige staat in kaart.	code	src/app/aanbod/AanbodContent.tsx:99	
aanbod.faq.5	/aanbod	faq	5	faq-vraag	Kan ik verschillende trainingsvormen combineren?	code	src/app/aanbod/AanbodContent.tsx:102	
aanbod.faq.6	/aanbod	faq	6	faq-antwoord	Absoluut. Veel leden combineren bijvoorbeeld small group training met een maandelijkse personal training sessie of mobility sessions.	code	src/app/aanbod/AanbodContent.tsx:103	
aanbod.faq.7	/aanbod	faq	7	faq-vraag	Hoe groot zijn de groepen bij Small Group Training?	code	src/app/aanbod/AanbodContent.tsx:106	
aanbod.faq.8	/aanbod	faq	8	faq-antwoord	Maximaal 6 personen. Zo garanderen we dat iedereen persoonlijke aandacht krijgt en de techniek correct wordt uitgevoerd.	code	src/app/aanbod/AanbodContent.tsx:107	
aanbod.faq.9	/aanbod	faq	9	faq-vraag	Wat als ik een blessure heb?	code	src/app/aanbod/AanbodContent.tsx:110	
aanbod.faq.10	/aanbod	faq	10	faq-antwoord	Bij een blessure passen we het programma aan. We werken samen met fysiotherapeuten in de regio voor een geïntegreerde aanpak.	code	src/app/aanbod/AanbodContent.tsx:111	
aanbod.faq.11	/aanbod	faq	11	faq-vraag	Zijn er vaste contracten?	code	src/app/aanbod/AanbodContent.tsx:114	
aanbod.faq.12	/aanbod	faq	12	faq-antwoord	We werken met flexibele lidmaatschappen. Neem contact op voor de mogelijkheden die bij jou passen.	code	src/app/aanbod/AanbodContent.tsx:115	
aanbod.cta.1	/aanbod	cta-footer	1	label	Kom langs	code	src/app/aanbod/AanbodContent.tsx:349	
aanbod.cta.2	/aanbod	cta-footer	2	h2	Klaar om te beginnen?	code	src/app/aanbod/AanbodContent.tsx:352	
aanbod.cta.3	/aanbod	cta-footer	3	body	Plan een vrijblijvende proefles en ontdek welke training bij jou past.	code	src/app/aanbod/AanbodContent.tsx:355-356	
aanbod.cta.4	/aanbod	cta-footer	4	cta	Plan je proefles	code	src/app/aanbod/AanbodContent.tsx:358	
aanbod.cta.5	/aanbod	cta-footer	5	body	Nog niet klaar om te starten?	code	src/app/aanbod/AanbodContent.tsx:360	
aanbod.cta.6	/aanbod	cta-footer	6	cta	Download de Beweeg Beter guide	code	src/app/aanbod/AanbodContent.tsx:362	
prijzen.hero.1	/prijzen	hero	1	label	Prijzen	code	src/app/prijzen/PrijzenContent.tsx:158	COPY: confirm met Marlon
prijzen.hero.2	/prijzen	hero	2	h1	Kies wat bij je past	code	src/app/prijzen/PrijzenContent.tsx:162	COPY: confirm met Marlon
prijzen.hero.3	/prijzen	hero	3	body	Kleine groepen, persoonlijke aandacht. Van een losse les tot onbeperkt trainen, alles op een rij.	code	src/app/prijzen/PrijzenContent.tsx:165-167	COPY: confirm met Marlon
prijzen.hero.4	/prijzen	hero	4	cta	Boek je abonnement	code	src/app/prijzen/PrijzenContent.tsx:170	
prijzen.earlymember.1	/prijzen	early-member-callout	1	label	Early Member actie loopt nu	code	src/app/prijzen/PrijzenContent.tsx:189	COPY: confirm met Marlon
prijzen.earlymember.2	/prijzen	early-member-callout	2	h2	Nu lid worden, blijvend voordeel	code	src/app/prijzen/PrijzenContent.tsx:192	COPY: confirm met Marlon
prijzen.earlymember.3	/prijzen	early-member-callout	3	body	Geen inschrijfkosten op Groepslessen en All Access.	code	src/app/prijzen/PrijzenContent.tsx:198	COPY: confirm met Marlon
prijzen.earlymember.4	/prijzen	early-member-callout	4	body	All Access Onbeperkt voor {prijs-dynamisch} per 4 weken in plaats van {prijs-dynamisch}, blijvend vastgezet zolang je lid blijft.	code	src/app/prijzen/PrijzenContent.tsx:202-210	COPY: confirm met Marlon
prijzen.earlymember.5	/prijzen	early-member-callout	5	body	Per 4 weken opzegbaar in plaats van 1 jaar commitment.	code	src/app/prijzen/PrijzenContent.tsx:213	COPY: confirm met Marlon
prijzen.earlymember.6	/prijzen	early-member-callout	6	cta	Naar de Early Member actie	code	src/app/prijzen/PrijzenContent.tsx:216	
prijzen.lidmaatschappen.1	/prijzen	lidmaatschappen	1	label	Lidmaatschappen	code	src/app/prijzen/PrijzenContent.tsx:233	COPY: confirm met Marlon
prijzen.lidmaatschappen.2	/prijzen	lidmaatschappen	2	h2	Groepslessen, vrij trainen, of allebei	code	src/app/prijzen/PrijzenContent.tsx:237	COPY: confirm met Marlon
prijzen.lidmaatschappen.3	/prijzen	lidmaatschappen	3	body	All Access is Groepslessen met vrij trainen erbij, voor een vast bedrag extra op elk niveau.	code	src/app/prijzen/PrijzenContent.tsx:241-243	COPY: confirm met Marlon
prijzen.lidmaatschappen.4	/prijzen	lidmaatschappen	4	label	2x / week	code	src/app/prijzen/PrijzenContent.tsx:252	
prijzen.lidmaatschappen.5	/prijzen	lidmaatschappen	5	label	3x / week	code	src/app/prijzen/PrijzenContent.tsx:255	
prijzen.lidmaatschappen.6	/prijzen	lidmaatschappen	6	label	Onbeperkt	code	src/app/prijzen/PrijzenContent.tsx:258	
prijzen.lidmaatschappen.7	/prijzen	lidmaatschappen	7	label	Groepslessen	code	src/app/prijzen/PrijzenContent.tsx:267	COPY: confirm met Marlon
prijzen.lidmaatschappen.8	/prijzen	lidmaatschappen	8	microcopy	yoga, mobility, kettlebell	code	src/app/prijzen/PrijzenContent.tsx:270	
prijzen.lidmaatschappen.9	/prijzen	lidmaatschappen	9	prijs-dynamisch	{fmt(pricing.groepslessen.twoX/threeX/unl)}	database	tmc.catalogue, via src/app/prijzen/page.tsx	
prijzen.lidmaatschappen.10	/prijzen	lidmaatschappen	10	microcopy	+ Onbeperkt vrij trainen toevoegen	code	src/app/prijzen/PrijzenContent.tsx:287	COPY: confirm met Marlon
prijzen.lidmaatschappen.11	/prijzen	lidmaatschappen	11	prijs-dynamisch	+{addOnDiffs} (verschil allAccess - groepslessen)	database	tmc.catalogue (afgeleid), via src/app/prijzen/page.tsx	
prijzen.lidmaatschappen.12	/prijzen	lidmaatschappen	12	label	= All Access	code	src/app/prijzen/PrijzenContent.tsx:303	COPY: confirm met Marlon
prijzen.lidmaatschappen.13	/prijzen	lidmaatschappen	13	microcopy	groepslessen + vrij trainen	code	src/app/prijzen/PrijzenContent.tsx:306	
prijzen.lidmaatschappen.14	/prijzen	lidmaatschappen	14	prijs-dynamisch	{fmt(pricing.allAccess.twoX/threeX/unl)}	database	tmc.catalogue, via src/app/prijzen/page.tsx	
prijzen.lidmaatschappen.15	/prijzen	lidmaatschappen	15	body	De toevoeging geeft altijd onbeperkt vrij trainen, ongeacht of Groepslessen op 2x, 3x of onbeperkt staat. Bij 2x Groepslessen betaal je dus {bedrag} voor onbeperkt vrij trainen erbij, niet voor 2x vrij trainen.	code	src/app/prijzen/PrijzenContent.tsx:332-337	COPY: confirm met Marlon
prijzen.lidmaatschappen.16	/prijzen	lidmaatschappen	16	body	De toevoeging geeft altijd onbeperkt vrij trainen, ongeacht of Groepslessen op 2x, 3x of onbeperkt staat. De meerprijs verschilt momenteel per kolom, zie de tabel hierboven voor het exacte bedrag per niveau.	code	src/app/prijzen/PrijzenContent.tsx:340-345	COPY: confirm met Marlon
prijzen.lidmaatschappen.17	/prijzen	lidmaatschappen	17	microcopy	Alle bedragen per 4 weken. Klassengrootte: Yoga & Mobility max. 8 personen, Kettlebell geen maximum.	code	src/app/prijzen/PrijzenContent.tsx:351-353	COPY: confirm met Marlon
prijzen.lidmaatschappen.18	/prijzen	lidmaatschappen	18	label	Los vrij trainen	code	src/app/prijzen/PrijzenContent.tsx:362	COPY: confirm met Marlon
prijzen.lidmaatschappen.19	/prijzen	lidmaatschappen	19	prijs-dynamisch	{fmt(pricing.vrijTrainen.twoX/threeX/unl)}	database	tmc.catalogue, via src/app/prijzen/page.tsx	
prijzen.lidmaatschappen.20	/prijzen	lidmaatschappen	20	body	Dit is een ander tarief dan de {bedrag}-toevoeging hierboven. Die toevoeging is een meerprijs voor wie al Groepslessen heeft; dit is de prijs voor wie alleen vrij wil trainen.	code	src/app/prijzen/PrijzenContent.tsx:393-406	COPY: confirm met Marlon
prijzen.lidmaatschappen.21	/prijzen	lidmaatschappen	21	body	Verlengde toegang (06:00-23:00) is {bedrag} per 4 weken extra op All Access 2x/3x en op Vrij Trainen, en gratis inbegrepen bij All Access Onbeperkt. Niet beschikbaar op Groepslessen-only.	code	src/app/prijzen/PrijzenContent.tsx:417-424	COPY: confirm met Marlon
prijzen.lidmaatschappen.22	/prijzen	lidmaatschappen	22	prijs-dynamisch	{fmt(pricing.extendedAccessCents)}	database	tmc.catalogue (addon extended_access), via src/app/prijzen/page.tsx	
prijzen.lidmaatschappen.23	/prijzen	lidmaatschappen	23	cta	Kies je abonnement	code	src/app/prijzen/PrijzenContent.tsx:428	
prijzen.pt.1	/prijzen	personal-training	1	label	Personal training	code	src/app/prijzen/PrijzenContent.tsx:441	COPY: confirm met Marlon
prijzen.pt.2	/prijzen	personal-training	2	h2	1-op-1 of duo	code	src/app/prijzen/PrijzenContent.tsx:445	COPY: confirm met Marlon
prijzen.pt.3	/prijzen	personal-training	3	label	Losse sessie	code	src/app/prijzen/PrijzenContent.tsx:456	
prijzen.pt.4	/prijzen	personal-training	4	label	{n}-rittenkaart	code	src/app/prijzen/PrijzenContent.tsx:460	COPY: confirm met Marlon
prijzen.pt.5	/prijzen	personal-training	5	label	Rittenkaart	code	src/app/prijzen/PrijzenContent.tsx:461	COPY: confirm met Marlon
prijzen.pt.6	/prijzen	personal-training	6	label	1-op-1	code	src/app/prijzen/PrijzenContent.tsx:468	
prijzen.pt.7	/prijzen	personal-training	7	label	Duo (totaal)	code	src/app/prijzen/PrijzenContent.tsx:487	COPY: confirm met Marlon
prijzen.pt.8	/prijzen	personal-training	8	prijs-dynamisch	{fmt(pricing.ptSingleCents/ptCardCents/duoSingleCents/duoCardCents)}, {bedrag}/sessie	database	tmc.catalogue, via src/app/prijzen/page.tsx	
prijzen.pt.9	/prijzen	personal-training	9	cta	Koop personal training	code	src/app/prijzen/PrijzenContent.tsx:511	COPY: confirm met Marlon
prijzen.pt.10	/prijzen	personal-training	10	cta	Log in om te kopen	code	src/app/prijzen/PrijzenContent.tsx:54	COPY: confirm met Marlon
prijzen.programmas.1	/prijzen	programmas	1	label	Programma's	code	src/app/prijzen/PrijzenContent.tsx:524	COPY: confirm met Marlon
prijzen.programmas.2	/prijzen	programmas	2	h2	Gerichte begeleiding in 12 weken	code	src/app/prijzen/PrijzenContent.tsx:528	COPY: confirm met Marlon
prijzen.programmas.3	/prijzen	programmas	3	h3	12 weken transformatie	code	src/app/prijzen/PrijzenContent.tsx:537	COPY: confirm met Marlon
prijzen.programmas.4	/prijzen	programmas	4	body	Persoonlijke training, meting en trainingsprotocol, plus voedings-, supplementen- en maagzuuradvies.	code	src/app/prijzen/PrijzenContent.tsx:546-547	COPY: confirm met Marlon
prijzen.programmas.5	/prijzen	programmas	5	h3	12 weken online	code	src/app/prijzen/PrijzenContent.tsx:560	COPY: confirm met Marlon
prijzen.programmas.6	/prijzen	programmas	6	body	Hormonaal profiel, trainingsschema op maat, voedings- en supplementenadvies, wekelijkse check-in.	code	src/app/prijzen/PrijzenContent.tsx:568-570	COPY: confirm met Marlon
prijzen.programmas.7	/prijzen	programmas	7	cta	Plan je intake	code	src/app/prijzen/PrijzenContent.tsx:551,574	
prijzen.programmas.8	/prijzen	programmas	8	prijs-dynamisch	{formatPriceEuro(programStudioCents/programOnlineCents)} of "Op aanvraag"	database	tmc.catalogue, via src/app/prijzen/page.tsx	COPY: confirm met Marlon ("Op aanvraag")
prijzen.losse.1	/prijzen	losse-bezoeken	1	label	Losse bezoeken	code	src/app/prijzen/PrijzenContent.tsx:590	COPY: confirm met Marlon
prijzen.losse.2	/prijzen	losse-bezoeken	2	h2	Nog geen abonnement? Kom eerst kijken	code	src/app/prijzen/PrijzenContent.tsx:594	COPY: confirm met Marlon
prijzen.losse.3	/prijzen	losse-bezoeken	3	label	Losse les (drop-in)	code	src/app/prijzen/PrijzenContent.tsx:600	COPY: confirm met Marlon
prijzen.losse.4	/prijzen	losse-bezoeken	4	label	10-rittenkaart	code	src/app/prijzen/PrijzenContent.tsx:608	COPY: confirm met Marlon
prijzen.losse.5	/prijzen	losse-bezoeken	5	microcopy	4 maanden geldig	code	src/app/prijzen/PrijzenContent.tsx:610	COPY: confirm met Marlon
prijzen.losse.6	/prijzen	losse-bezoeken	6	prijs-dynamisch	{fmt(dropInCents/tenRideCardCents)}, {bedrag} per les	database	tmc.catalogue, via src/app/prijzen/page.tsx	
prijzen.losse.7	/prijzen	losse-bezoeken	7	cta	Koop een rittenkaart	code	src/app/prijzen/PrijzenContent.tsx:626	
prijzen.voorwaarden.1	/prijzen	voorwaarden	1	label	Goed om te weten	code	src/app/prijzen/PrijzenContent.tsx:639	COPY: confirm met Marlon
prijzen.voorwaarden.2	/prijzen	voorwaarden	2	h2	Commitment en voorwaarden	code	src/app/prijzen/PrijzenContent.tsx:643	COPY: confirm met Marlon
prijzen.voorwaarden.3	/prijzen	voorwaarden	3	label	Standaard commitment	code	src/app/prijzen/PrijzenContent.tsx:650	COPY: confirm met Marlon
prijzen.voorwaarden.4	/prijzen	voorwaarden	4	body	1 jaar, daarna maandelijks (per 4 weken) opzegbaar	code	src/app/prijzen/PrijzenContent.tsx:653	
prijzen.voorwaarden.5	/prijzen	voorwaarden	5	label	24 maanden commitment	code	src/app/prijzen/PrijzenContent.tsx:664	COPY: confirm met Marlon
prijzen.voorwaarden.6	/prijzen	voorwaarden	6	body	{percentage}% korting op de abonnementsprijs	code	src/app/prijzen/PrijzenContent.tsx:668-670	COPY: confirm met Marlon
prijzen.voorwaarden.7	/prijzen	voorwaarden	7	label	Inschrijfkosten	code	src/app/prijzen/PrijzenContent.tsx:676	COPY: confirm met Marlon
prijzen.voorwaarden.8	/prijzen	voorwaarden	8	body	{bedrag} eenmalig bij nieuwe inschrijving	code	src/app/prijzen/PrijzenContent.tsx:679-681	
prijzen.voorwaarden.9	/prijzen	voorwaarden	9	prijs-dynamisch	{commit24mDiscountPercent}, {signupFeeCents}	database	tmc.catalogue, via src/app/prijzen/page.tsx	
prijzen.crosslink.1	/prijzen	crosslink-early-member	1	label	Nieuw hier?	code	src/app/prijzen/PrijzenContent.tsx:695	COPY: confirm met Marlon
prijzen.crosslink.2	/prijzen	crosslink-early-member	2	h3	Bekijk de Early Member actie	code	src/app/prijzen/PrijzenContent.tsx:699	COPY: confirm met Marlon
prijzen.crosslink.3	/prijzen	crosslink-early-member	3	body	Als een van de eerste leden krijg je voorwaarden die na deze periode niet meer terugkomen.	code	src/app/prijzen/PrijzenContent.tsx:703-704	COPY: confirm met Marlon
prijzen.crosslink.4	/prijzen	crosslink-early-member	4	cta	Naar de Early Member actie	code	src/app/prijzen/PrijzenContent.tsx:707	
abonnement.lib.1	/abonnement	labels	1	label	Groepslessen	code	src/app/abonnement/lib.ts:11	COPY: confirm met Marlon
abonnement.lib.2	/abonnement	labels	2	label	Vrij Trainen	code	src/app/abonnement/lib.ts:12	COPY: confirm met Marlon
abonnement.lib.3	/abonnement	labels	3	label	All Access	code	src/app/abonnement/lib.ts:13	COPY: confirm met Marlon
abonnement.lib.4	/abonnement	labels	4	label	2× per week	code	src/app/abonnement/lib.ts:18	COPY: confirm met Marlon
abonnement.lib.5	/abonnement	labels	5	label	3× per week	code	src/app/abonnement/lib.ts:19	COPY: confirm met Marlon
abonnement.lib.6	/abonnement	labels	6	label	Onbeperkt	code	src/app/abonnement/lib.ts:20	COPY: confirm met Marlon
abonnement.configure.1	/abonnement	configure-stap	1	microcopy	Stap 01 · Kies je abonnement	code	src/app/abonnement/ConfigureStage.tsx:473	
abonnement.configure.2	/abonnement	configure-stap	2	h1	Stel je abonnement samen.	code	src/app/abonnement/ConfigureStage.tsx:477	COPY: confirm met Marlon
abonnement.configure.3	/abonnement	configure-stap	3	body	Alle prijzen zijn per 4 weken.	code	src/app/abonnement/ConfigureStage.tsx:481	COPY: confirm met Marlon
abonnement.configure.4	/abonnement	configure-stap	4	label	Looptijd	code	src/app/abonnement/ConfigureStage.tsx:487	COPY: confirm met Marlon
abonnement.configure.5	/abonnement	configure-stap	5	cta	12 maanden	code	src/app/abonnement/ConfigureStage.tsx:500	COPY: confirm met Marlon
abonnement.configure.6	/abonnement	configure-stap	6	cta	24 maanden	code	src/app/abonnement/ConfigureStage.tsx:512	COPY: confirm met Marlon
abonnement.configure.7	/abonnement	configure-stap	7	label	All Access	code	src/app/abonnement/ConfigureStage.tsx:399	COPY: confirm met Marlon
abonnement.configure.8	/abonnement	configure-stap	8	h3	{allAccessPlan.display_name}	database	tmc.catalogue.display_name (all_inclusive_unl)	
abonnement.configure.9	/abonnement	configure-stap	9	body	Onbeperkt groepslessen en onbeperkt vrij trainen. Verlengde toegang van 06:00 tot 23:00 is inbegrepen.	code	src/app/abonnement/ConfigureStage.tsx:406-407	COPY: confirm met Marlon
abonnement.configure.10	/abonnement	configure-stap	10	label	Early Member	code	src/app/abonnement/ConfigureStage.tsx:411,359	
abonnement.configure.11	/abonnement	configure-stap	11	body	Per 4 weken opzegbaar, geen jaarcommitment.	code	src/app/abonnement/ConfigureStage.tsx:415,363	COPY: confirm met Marlon
abonnement.configure.12	/abonnement	configure-stap	12	microcopy	/4wk	code	src/app/abonnement/ConfigureStage.tsx:425,299	COPY: confirm met Marlon
abonnement.configure.13	/abonnement	configure-stap	13	cta	Gekozen	code	src/app/abonnement/ConfigureStage.tsx:442,377	COPY: confirm met Marlon
abonnement.configure.14	/abonnement	configure-stap	14	cta	Kies All Access	code	src/app/abonnement/ConfigureStage.tsx:442	
abonnement.configure.15	/abonnement	configure-stap	15	cta	Kies dit abonnement	code	src/app/abonnement/ConfigureStage.tsx:377	
abonnement.configure.16	/abonnement	configure-stap	16	h2	Groepslessen	code	src/app/abonnement/ConfigureStage.tsx:526	
abonnement.configure.17	/abonnement	configure-stap	17	microcopy	Yoga, mobility en kettlebell	code	src/app/abonnement/ConfigureStage.tsx:530	
abonnement.configure.18	/abonnement	configure-stap	18	h2	Vrij Trainen	code	src/app/abonnement/ConfigureStage.tsx:542	
abonnement.configure.19	/abonnement	configure-stap	19	microcopy	Op je eigen moment de studio in	code	src/app/abonnement/ConfigureStage.tsx:546	
abonnement.configure.20	/abonnement	configure-stap	20	label	Onbeperkt vrij trainen erbij	code	src/app/abonnement/ConfigureStage.tsx:312	
abonnement.configure.21	/abonnement	configure-stap	21	microcopy	Onbeperkt vrij trainen toevoegen	code	src/app/abonnement/ConfigureStage.tsx:324	
abonnement.configure.22	/abonnement	configure-stap	22	label	Verlengde toegang 06:00-23:00	code	src/app/abonnement/ConfigureStage.tsx:333	
abonnement.configure.23	/abonnement	configure-stap	23	microcopy	Verlengde toegang toevoegen	code	src/app/abonnement/ConfigureStage.tsx:343	
abonnement.configure.24	/abonnement	configure-stap	24	body	Ook onbeperkt vrij trainen erbij? Dat is All Access, hierboven.	code	src/app/abonnement/ConfigureStage.tsx:352-353	
abonnement.configure.25	/abonnement	configure-stap	25	h2	Kosten en voorwaarden	code	src/app/abonnement/ConfigureStage.tsx:556	
abonnement.configure.26	/abonnement	configure-stap	26	label	Inschrijfkosten	code	src/app/abonnement/ConfigureStage.tsx:563	
abonnement.configure.27	/abonnement	configure-stap	27	body	Eenmalig {bedrag} bij je eerste betaling.	code	src/app/abonnement/ConfigureStage.tsx:566-571	
abonnement.configure.28	/abonnement	configure-stap	28	body	Vervalt als je Early Member wordt of overstapt.	code	src/app/abonnement/ConfigureStage.tsx:574	
abonnement.configure.29	/abonnement	configure-stap	29	label	Looptijd	code	src/app/abonnement/ConfigureStage.tsx:580	
abonnement.configure.30	/abonnement	configure-stap	30	body	24 maanden, met 8% korting.	code	src/app/abonnement/ConfigureStage.tsx:585	
abonnement.configure.31	/abonnement	configure-stap	31	body	12 maanden, daarna per 4 weken opzegbaar.	code	src/app/abonnement/ConfigureStage.tsx:586	
abonnement.configure.32	/abonnement	configure-stap	32	body	Niet-restitueerbaar bij tussentijds stoppen.	code	src/app/abonnement/ConfigureStage.tsx:590	
abonnement.configure.33	/abonnement	configure-stap	33	body	Kies 24 maanden voor 8% korting.	code	src/app/abonnement/ConfigureStage.tsx:591	
abonnement.configure.34	/abonnement	configure-stap	34	label	Betaling	code	src/app/abonnement/ConfigureStage.tsx:597	
abonnement.configure.35	/abonnement	configure-stap	35	body	Automatische incasso per 4 weken.	code	src/app/abonnement/ConfigureStage.tsx:600	
abonnement.configure.36	/abonnement	configure-stap	36	body	Je geeft hiervoor een doorlopende SEPA-machtiging.	code	src/app/abonnement/ConfigureStage.tsx:602	
abonnement.configure.37	/abonnement	configure-stap	37	label	Eerste betaling	code	src/app/abonnement/ConfigureStage.tsx:632	
abonnement.configure.38	/abonnement	configure-stap	38	cta	Ga verder	code	src/app/abonnement/ConfigureStage.tsx:646	
abonnement.configure.39	/abonnement	configure-stap	39	body	{n} maanden looptijd / per 4 weken opzegbaar	code	src/app/abonnement/ConfigureStage.tsx:623-625	
abonnement.configure.40	/abonnement	configure-stap	40	body	Abonnementen zijn momenteel niet beschikbaar. Neem contact met ons op.	code	src/app/abonnement/ConfigureStage.tsx:456	
abonnement.configure.41	/abonnement	configure-stap	41	body	Groepslessen 2× + onbeperkt vrij trainen	code	src/app/abonnement/ConfigureStage.tsx:97	COPY: confirm met Marlon
abonnement.configure.42	/abonnement	configure-stap	42	body	Groepslessen 3× + onbeperkt vrij trainen	code	src/app/abonnement/ConfigureStage.tsx:98	COPY: confirm met Marlon
abonnement.configure.43	/abonnement	configure-stap	43	prijs-dynamisch	{formatEuro(recurringTotalCents/baseCatalogueCents)}, display_name per plan	database	tmc.catalogue, via src/app/abonnement/page.tsx	
abonnement.identify.1	/abonnement	identify-stap	1	microcopy	Stap 02 · Jouw gegevens	code	src/app/abonnement/IdentifyStage.tsx:126	
abonnement.identify.2	/abonnement	identify-stap	2	h1	Wie mogen we verwelkomen?	code	src/app/abonnement/IdentifyStage.tsx:130	COPY: confirm met Marlon
abonnement.identify.3	/abonnement	identify-stap	3	body	Nodig voor je facturering en de automatische incasso via Mollie.	code	src/app/abonnement/IdentifyStage.tsx:134	COPY: confirm met Marlon
abonnement.identify.4	/abonnement	identify-stap	4	label	Voornaam	code	src/app/abonnement/IdentifyStage.tsx:143	
abonnement.identify.5	/abonnement	identify-stap	5	label	Achternaam	code	src/app/abonnement/IdentifyStage.tsx:152	
abonnement.identify.6	/abonnement	identify-stap	6	label	Telefoon	code	src/app/abonnement/IdentifyStage.tsx:162	
abonnement.identify.7	/abonnement	identify-stap	7	label	Straat + nummer	code	src/app/abonnement/IdentifyStage.tsx:171	
abonnement.identify.8	/abonnement	identify-stap	8	label	Postcode	code	src/app/abonnement/IdentifyStage.tsx:181	
abonnement.identify.9	/abonnement	identify-stap	9	label	Plaats	code	src/app/abonnement/IdentifyStage.tsx:190	
abonnement.identify.10	/abonnement	identify-stap	10	cta	Terug	code	src/app/abonnement/IdentifyStage.tsx:214,361	
abonnement.identify.11	/abonnement	identify-stap	11	cta	Opslaan...	code	src/app/abonnement/IdentifyStage.tsx:221	COPY: confirm met Marlon
abonnement.identify.12	/abonnement	identify-stap	12	cta	Ga verder naar betalen	code	src/app/abonnement/IdentifyStage.tsx:221	COPY: confirm met Marlon
abonnement.identify.13	/abonnement	identify-stap	13	microcopy	Stap 02 · Bevestig je e-mailadres	code	src/app/abonnement/IdentifyStage.tsx:233	
abonnement.identify.14	/abonnement	identify-stap	14	microcopy	Check je mail	code	src/app/abonnement/IdentifyStage.tsx:238	
abonnement.identify.15	/abonnement	identify-stap	15	body	We hebben een code van {n} cijfers gestuurd naar {email}. De code is 10 minuten geldig.	code	src/app/abonnement/IdentifyStage.tsx:242-244	COPY: confirm met Marlon
abonnement.identify.16	/abonnement	identify-stap	16	label	Inlogcode	code	src/app/abonnement/IdentifyStage.tsx:253	
abonnement.identify.17	/abonnement	identify-stap	17	cta	Bezig...	code	src/app/abonnement/IdentifyStage.tsx:284,368	COPY: confirm met Marlon
abonnement.identify.18	/abonnement	identify-stap	18	cta	Bevestigen	code	src/app/abonnement/IdentifyStage.tsx:284	COPY: confirm met Marlon
